#{"t_start": 1598502398.0228744, "env_id": "openDSS-v0"}
r,l,t
-7084.602448,1,50.950868
-12513.263334,1,51.064562
-11925.831235,1,51.147376
-484.266115,1,51.214164
-7414.577813,1,51.291956
-23529.104041,1,51.367754
-1715.988424,1,51.437567
-7664.890165,1,51.495445
-4635.539206,1,51.553256
-1321.707254,1,51.627058
-189.823885,1,51.693885
-3252.944646,1,51.749732
-1354.059812,1,51.803621
-2309.713776,1,51.857443
-7155.460365,1,51.911299
-9196.761495,1,51.970186
-589.390248,1,52.029022
-283.585829,1,52.092814
-3937.83765,1,52.147702
-3686.002901,1,52.201559
-3032.822474,1,52.260365
-1226.8053,1,52.319208
-6098.17863,1,52.38304
-2923.455455,1,52.443913
-5534.413268,1,52.510696
-484.204726,1,52.573535
-2473.550266,1,52.635361
-10973.777984,1,52.709202
-6489.127331,1,52.791945
-7385.046249,1,52.894672
-2482.280793,1,53.04128
-2227.295196,1,53.15298
-3683.496714,1,53.260692
-9971.426491,1,53.400362
-3273.438954,1,53.536954
-3027.476583,1,53.626714
-8603.16043,1,53.757363
-836.568572,1,53.828175
-8025.477619,1,53.921931
-15092.281448,1,54.011683
-20.585247,1,54.115409
-2586.589082,1,54.309901
-8521.35635,1,54.509356
-2358.733154,1,54.661948
-739.418062,1,54.793603
-1080.70504,1,55.040935
-4613.69801,1,55.29426
-4924.933714,1,55.420919
-2912.499445,1,55.519653
-5509.459213,1,55.581487
-4241.416642,1,55.634345
-2669.402773,1,55.683215
-18175.413219,1,55.734563
-4728.307403,1,55.791413
-11491.778376,1,55.851417
-15337.249101,1,55.905307
-751.741929,1,55.962119
-1462.320086,1,56.015975
-3086.692698,1,56.065842
-3214.094286,1,56.115708
-10371.101435,1,56.166573
-5452.091298,1,56.234393
-832.369215,1,56.332139
-4568.614179,1,56.462782
-8484.286949,1,56.599421
-6713.861077,1,56.80487
-2166.646332,1,57.128024
-10036.133896,1,57.357391
-504.960767,1,57.606779
-2309.021592,1,57.70651
-6246.854904,1,57.775361
-50.663263,1,57.835166
